dataset(id);id_db;description_short;keyword(synonyms);description_full;dataset(description);dataset(description);segmented_word;dataset(title,description);success_a;failure_b;failure_c;failure_d;failure_e;completion_time;category;WER_score
1;2fe19aa2-2456-42a0-9821-7fc07c00b1ff;torn garbage bags;torn garbage bags,garbage bags,bags,refuse; Aufgerissene Abfallsäcke;Aufgerissene Abfallsäcke;;a torn garbage bags;Aufgerissene Abfallsäcke ;x;;;;;120;Abfall;0.000
2;5969b4ed-8c11-4988-9584-09c98a67dceb;clothes bags;clothes bags,clothing sacks,container,sidewalk,people; Kleider mutwillig entsorgt. An der Kolumbanstraße 48 hat es bis circa vor vier Wochen einen Altkleidercontainer. Gestern Abend liefen zwei Personen mit drei Kleidersäcke zu diesem. Als sie bemerkten, dass dieser nicht mehr da war, hielten sie an und diskutierten zusammen. Anschliesslich entscheiden sie sich mutwillig und bewusst die Kleidungssäcke dort zu entsorgen auf den schulterpflichtbewussten St. Galler Steuerzahler. Ich bitte die Stadt um eine Entsorgung. Vielen Dank.;Kleider mutwillig  entsorgt;An der Kolumbanstrasse 48 hatte es bis ca. vor 4 Wochen einen Altkleidercontainer. Gestern Abend liefen 2 Personen mit 3 Kleidersäcken zu diesem. Als sie bemerkten das diessr nicht mehr da war hielten sie an und diskutierten zusammen. Anschliessend entschieden sie sich mutwillig und bewusst diese Kleidersäcke dort zu entsorgen auf Schultern der pflichtbewussten St.Galler Steuerzahler. Ich bitte die Stadt um eine entsprechende Entsorgung. Vielen Dank;a container;Kleider mutwillig  entsorgt An der Kolumbanstrasse 48 hatte es bis ca. vor 4 Wochen einen Altkleidercontainer. Gestern Abend liefen 2 Personen mit 3 Kleidersäcken zu diesem. Als sie bemerkten das diessr nicht mehr da war hielten sie an und diskutierten zusammen. Anschliessend entschieden sie sich mutwillig und bewusst diese Kleidersäcke dort zu entsorgen auf Schultern der pflichtbewussten St.Galler Steuerzahler. Ich bitte die Stadt um eine entsprechende Entsorgung. Vielen Dank;;;x;;;292;Abfall;0.319
3;7ba95b70-100e-4ad7-8a1b-34b9d7111147;shards;shards,glass shards,surface,path,sidewalk; Scherben bei Einfahrt 3 Lindengässlein. Es liegt am oberen Teil des Weges eine grosse Scherbenfläche.;Scherben bei Einfahrt Dreilindengässlein;Es liegt am oberen Teil des Weges eine grosse Scherbenfläche.;a surface;Scherben bei Einfahrt Dreilindengässlein Es liegt am oberen Teil des Weges eine grosse Scherbenfläche.;;;;;x;190;Abfall;0.143
4;de9621c1-ae2d-414d-a983-f7283b7df2d9;garbage pile;garbage pile,waste,refuse,pile; Abfallberg bis Freitag;Abfallberg bis Freitag;;a garbage pile;Abfallberg bis Freitag ;x;;;;;123;Abfall;0.000
5;91addc15-7331-4f92-8d03-1ef32b32e8eb;garbage bag;garbage bag,bags,trash,residents,properties; Abfallsack. Schon wieder liegt ein Abfallsack am Fuße der Falkenburgtreppe. Säcke und andere Müll finden sich da fast täglich. Es wäre schön, wenn Sie die Verursacher ermitteln könnten. Potenziell kommen die Bewohner von zwei Liegenschaften in Frage und diesen Missstand dann nachhaltig beheben.;Abfallsack;Schon wieder liegt ein Abgallsack am Fusse der Falkenburg Treppe. Säcke und anderer Müll finden sich da fast täglich es wäre schön, wenn Sie den Verursacher emitteln könnten (Potentiell Kommen die Bewohner von zwei Liegenschaften infrage) und diesen Missstand dann nachhaltig beheben.;a garbage bag;Abfallsack Schon wieder liegt ein Abgallsack am Fusse der Falkenburg Treppe. Säcke und anderer Müll finden sich da fast täglich es wäre schön, wenn Sie den Verursacher emitteln könnten (Potentiell Kommen die Bewohner von zwei Liegenschaften infrage) und diesen Missstand dann nachhaltig beheben.;x;;;;;221;Abfall;0.349
6;c8f0a667-d571-4c2e-86c7-f63317a558ce;container;container,underfloor container,container; Unterflur-Container komplett überfüllt. Guten Tag, der Unterflur-Container ist wieder einmal komplett überfüllt.;Unterflurcontainer komplett überfüllt;Guten Tag Der Unterflurcontainer ist wieder einmal komplett überfüllt.;a container;Unterflurcontainer komplett überfüllt Guten Tag Der Unterflurcontainer ist wieder einmal komplett überfüllt.;x;;;;;200;Abfall;0.417
7;a6e79aa7-252a-483a-b641-e2561fe1e7d2;trash;trash,garbage,people,cameras,signs; Kein schöner Anblick über die Osterfeiertage. Es ist wirklich unschön, wie manche Menschen einfach ihren Müll entsorgen. Ich denke hier wird der Sünder wohl kaum gefunden. Kameras oder Schilder wären hilfreich.;Kein schöner Anblick über die Osterfeiertage !!;Es ist wirklich sehr unschön, wie manche Menschen einfach ihren Müll entsorgen. Ich denke, hier wird der Sünder wohl kaum gefunden. Kameras oder Schilder wären hilfreich..;a trash;Kein schöner Anblick über die Osterfeiertage !! Es ist wirklich sehr unschön, wie manche Menschen einfach ihren Müll entsorgen. Ich denke, hier wird der Sünder wohl kaum gefunden. Kameras oder Schilder wären hilfreich..;x;;;;;138;Abfall;0.152
8;63ca28f2-1798-4a4b-97a9-81897f86faa8;children's chairs;children's chairs,stools,furniture,chairs; Abfallkinderstühle wurden demoliert, zurückgelassen.;Abfall Kinderstühle;Wurden demoliert zurückgelassen.;null;Abfall Kinderstühle Wurden demoliert zurückgelassen.;;;;;x;93;Abfall;0.800
9;938565a0-0a06-4d13-9559-aebf8f586bac;furniture;furniture,waste,containers,building,apartment building; Wiederholt Möbel an der neuen Liegenschaft. Grüezi miteinander. Mir ist aufgefallen, dass an der neuen Liegenschaft Langgasse 74, die neu erstellt wurde, extrem viel Abfall und Möbel an den Niederflurcontainern entsorgt wird. Danke für die Kenntnisnahme.;Wiederholt Möbel an der neuen Liegenschaft;Grüezi mitenand, mir ist aufgefallen, dass an der Liegenschaft Langgasse 74 ,die neu erstellt wurde, extrem viel Abfall und Möbel an den Niederflurcontainer entsorgt wird. Danke für die Kenntnisnahme.;a waste;Wiederholt Möbel an der neuen Liegenschaft Grüezi mitenand, mir ist aufgefallen, dass an der Liegenschaft Langgasse 74 ,die neu erstellt wurde, extrem viel Abfall und Möbel an den Niederflurcontainer entsorgt wird. Danke für die Kenntnisnahme.;x;;;;;100;Abfall;0.200
10;44f4751a-bd63-4701-bfa1-a79607f9d8fb;sacks;sacks,waste bags,property,restaurant,disposal; Illegale Entsorgung. Bei den Abbruchliegenschaften wird munter weiter illegal entsorgt. Auch bei den ehemaligen Restaurant Grütli, Rittobelstrasse, werden die Säcke trotz Hinweise der Verwaltung schon einen Tag nach der Abholung durch das Entsorgungsamt vor der Liegenschaft bereitgestellt. Frohe Festtage und danke an den Controller.;illegale Entsorgung;Bei den Abbruch Liegenschaften wird munter weiter illegal entsorgt. Auch beim ehemaligen Rest. Grütli ( Rehetobelstrasse) werden die Säcke trotz Hinweis der Verwaltung schon einen Tag nach der Abholung durch das Entsorgungsamt vor die Liegenschaft bereitgestellt. Frohe Festtage und Danke an den Controller.;a sacks;illegale Entsorgung Bei den Abbruch Liegenschaften wird munter weiter illegal entsorgt. Auch beim ehemaligen Rest. Grütli ( Rehetobelstrasse) werden die Säcke trotz Hinweis der Verwaltung schon einen Tag nach der Abholung durch das Entsorgungsamt vor die Liegenschaft bereitgestellt. Frohe Festtage und Danke an den Controller.;x;;;;;246;Abfall;0.289
11;9f33a6ec-0ad8-42e7-a85a-f1b2d764d34c;rug;rug,carpet,textile,floor covering; Teppich wurde entsorgt. Teppich liegt seit 14 Tagen dort.;Teppich wurde entsorgt;Teppich liegt seit 14 Tagen dort;a carpet;Teppich wurde entsorgt Teppich liegt seit 14 Tagen dort;x;;;;;141;Abfall;0.222
12;21913c01-bf83-40f4-8bfe-3284c4b46232;shopping cart;shopping cart,cart,cart,vehicle; mikro einkaufswagen in der rabatte des großen baum steht ein mikro einkaufswagen;Migros-Einkaufswagen;In der Rabatte des grossen Baums steht ein Migros-Einkaufswagen.;a vehicle;Migros-Einkaufswagen In der Rabatte des grossen Baums steht ein Migros-Einkaufswagen.;x;;;;;94;Abfall;0.800
13;6c6f7b55-d242-4e3b-8fe5-ace59ad83ab1;waste;waste,illegal waste,refuse,garbage; Abfall, illegaler Abfall jeglicher Art.;Abfall;Illegaler Abfall jeglicher Art.;null;Abfall Illegaler Abfall jeglicher Art.;;;;;x;85;Abfall;0.400
14;7fe294c2-a3b7-4085-bfd9-54b29d411dac;garbage bags;garbage bags,sacks,iron,football,bridge; Abfallsäcke unter der Brücke. Es liegen drei Säcke, ein Eisen und ein alter Fußball unter der Brücke. Danke für die Beseitigung.;Abfallsäcke unter der Brücke;Es liegen 3 Säcke, ein Eisen und ein alter Fussball unter der Brücke. Danke für die Beseitigung!;a garbage bags;Abfallsäcke unter der Brücke Es liegen 3 Säcke, ein Eisen und ein alter Fussball unter der Brücke. Danke für die Beseitigung!;x;;;;;90;Abfall;0.190
